 Mass density    Pressure    Energy density
 2.700000e-02  1.549166e-11   2.700000e-02 
 2.807784e-02  1.650004e-11   2.807784e-02 
 2.919872e-02  1.757406e-11   2.919872e-02 
 3.036433e-02  1.871798e-11   3.036433e-02 
 3.157648e-02  1.993637e-11   3.157648e-02 
 3.283702e-02  2.123406e-11   3.283702e-02 
 3.414788e-02  2.261622e-11   3.414788e-02 
 3.551107e-02  2.408835e-11   3.551107e-02 
 3.692868e-02  2.565630e-11   3.692868e-02 
 3.840288e-02  2.732631e-11   3.840288e-02 
 3.993593e-02  2.910503e-11   3.993593e-02 
 4.153018e-02  3.099953e-11   4.153018e-02 
 4.318807e-02  3.301734e-11   4.318807e-02 
 4.491214e-02  3.516649e-11   4.491214e-02 
 4.670504e-02  3.745554e-11   4.670504e-02 
 4.856951e-02  3.989358e-11   4.856951e-02 
 5.050842e-02  4.249032e-11   5.050842e-02 
 5.252472e-02  4.525609e-11   5.252472e-02 
 5.462152e-02  4.820189e-11   5.462152e-02 
 5.680202e-02  5.133943e-11   5.680202e-02 
 5.906956e-02  5.468120e-11   5.906956e-02 
 6.142763e-02  5.824049e-11   6.142763e-02 
 6.387983e-02  6.203147e-11   6.387983e-02 
 6.642993e-02  6.606920e-11   6.642993e-02 
 6.908182e-02  7.036976e-11   6.908182e-02 
 7.183958e-02  7.495024e-11   7.183958e-02 
 7.470742e-02  7.982888e-11   7.470742e-02 
 7.768976e-02  8.502508e-11   7.768976e-02 
 8.079115e-02  9.055951e-11   8.079115e-02 
 8.401634e-02  9.645418e-11   8.401634e-02 
 8.737029e-02  1.027325e-10   8.737029e-02 
 9.085812e-02  1.094196e-10   9.085812e-02 
 9.448520e-02  1.165419e-10   9.448520e-02 
 9.825706e-02  1.241278e-10   9.825706e-02 
 1.021795e-01  1.322075e-10   1.021795e-01 
 1.062585e-01  1.408131e-10   1.062585e-01 
 1.105004e-01  1.499789e-10   1.105004e-01 
 1.149116e-01  1.597412e-10   1.149116e-01 
 1.194989e-01  1.701391e-10   1.194989e-01 
 1.242693e-01  1.812137e-10   1.242693e-01 
 1.292301e-01  1.930092e-10   1.292301e-01 
 1.343890e-01  2.055725e-10   1.343890e-01 
 1.397538e-01  2.189536e-10   1.397538e-01 
 1.453328e-01  2.332056e-10   1.453328e-01 
 1.511346e-01  2.483854e-10   1.511346e-01 
 1.571679e-01  2.645532e-10   1.571679e-01 
 1.634420e-01  2.817734e-10   1.634420e-01 
 1.699667e-01  3.001145e-10   1.699667e-01 
 1.767518e-01  3.196495e-10   1.767518e-01 
 1.838077e-01  3.404560e-10   1.838077e-01 
 1.911454e-01  3.626169e-10   1.911454e-01 
 1.987759e-01  3.862203e-10   1.987759e-01 
 2.067111e-01  4.113600e-10   2.067111e-01 
 2.149630e-01  4.381361e-10   2.149630e-01 
 2.235444e-01  4.666551e-10   2.235444e-01 
 2.324683e-01  4.970305e-10   2.324683e-01 
 2.417485e-01  5.293831e-10   2.417485e-01 
 2.513991e-01  5.638415e-10   2.513991e-01 
 2.614350e-01  6.005429e-10   2.614350e-01 
 2.718716e-01  6.396333e-10   2.718716e-01 
 2.827247e-01  6.812681e-10   2.827247e-01 
 2.940111e-01  7.256130e-10   2.940111e-01 
 3.057481e-01  7.728444e-10   3.057481e-01 
 3.179536e-01  8.231501e-10   3.179536e-01 
 3.306464e-01  8.767304e-10   3.306464e-01 
 3.438458e-01  9.337982e-10   3.438458e-01 
 3.575722e-01  9.945808e-10   3.575722e-01 
 3.718466e-01  1.059320e-09   3.718466e-01 
 3.866907e-01  1.128273e-09   3.866907e-01 
 4.021275e-01  1.201714e-09   4.021275e-01 
 4.181805e-01  1.279935e-09   4.181805e-01 
 4.348743e-01  1.363249e-09   4.348743e-01 
 4.522346e-01  1.451985e-09   4.522346e-01 
 4.702879e-01  1.546497e-09   4.702879e-01 
 4.890618e-01  1.647161e-09   4.890618e-01 
 5.085853e-01  1.754378e-09   5.085853e-01 
 5.288881e-01  1.868573e-09   5.288881e-01 
 5.500014e-01  1.990202e-09   5.500014e-01 
 5.719575e-01  2.119747e-09   5.719575e-01 
 5.947901e-01  2.257725e-09   5.947901e-01 
 6.185343e-01  2.404684e-09   6.185343e-01 
 6.432263e-01  2.561209e-09   6.432263e-01 
 6.689040e-01  2.727923e-09   6.689040e-01 
 6.956067e-01  2.905488e-09   6.956067e-01 
 7.233754e-01  3.094611e-09   7.233755e-01 
 7.522527e-01  3.296044e-09   7.522527e-01 
 7.822828e-01  3.510590e-09   7.822828e-01 
 8.135116e-01  3.739100e-09   8.135116e-01 
 8.459871e-01  3.982484e-09   8.459872e-01 
 8.797591e-01  4.241711e-09   8.797591e-01 
 9.148792e-01  4.517811e-09   9.148792e-01 
 9.514014e-01  4.811883e-09   9.514014e-01 
 9.893815e-01  5.125097e-09   9.893815e-01 
 1.028878e+00  5.458698e-09   1.028878e+00 
 1.069951e+00  5.814014e-09   1.069951e+00 
 1.112663e+00  6.192458e-09   1.112663e+00 
 1.157081e+00  6.595535e-09   1.157081e+00 
 1.203272e+00  7.024850e-09   1.203272e+00 
 1.251307e+00  7.482109e-09   1.251307e+00 
 1.301259e+00  7.969133e-09   1.301259e+00 
 1.353206e+00  8.487857e-09   1.353206e+00 
 1.407226e+00  9.040346e-09   1.407226e+00 
 1.463402e+00  9.628797e-09   1.463402e+00 
 1.521822e+00  1.025555e-08   1.521822e+00 
 1.582573e+00  1.092310e-08   1.582573e+00 
 1.645750e+00  1.163411e-08   1.645750e+00 
 1.711448e+00  1.239139e-08   1.711448e+00 
 1.779770e+00  1.319797e-08   1.779770e+00 
 1.850818e+00  1.405705e-08   1.850818e+00 
 1.924703e+00  1.497204e-08   1.924703e+00 
 2.001538e+00  1.594660e-08   2.001538e+00 
 2.081439e+00  1.698459e-08   2.081439e+00 
 2.164531e+00  1.809015e-08   2.164531e+00 
 2.250939e+00  1.926766e-08   2.250939e+00 
 2.340797e+00  2.052183e-08   2.340797e+00 
 2.434242e+00  2.185763e-08   2.434242e+00 
 2.531417e+00  2.328038e-08   2.531417e+00 
 2.632472e+00  2.479574e-08   2.632472e+00 
 2.737561e+00  2.640974e-08   2.737561e+00 
 2.846845e+00  2.812879e-08   2.846845e+00 
 2.960491e+00  2.995974e-08   2.960491e+00 
 3.078674e+00  3.190987e-08   3.078674e+00 
 3.201576e+00  3.398694e-08   3.201576e+00 
 3.329383e+00  3.619921e-08   3.329383e+00 
 3.462293e+00  3.855547e-08   3.462293e+00 
 3.600508e+00  4.106512e-08   3.600508e+00 
 3.744241e+00  4.373811e-08   3.744241e+00 
 3.893711e+00  4.658510e-08   3.893712e+00 
 4.049149e+00  4.961741e-08   4.049149e+00 
 4.210792e+00  5.284709e-08   4.210792e+00 
 4.378887e+00  5.628699e-08   4.378887e+00 
 4.553693e+00  5.995081e-08   4.553693e+00 
 4.735477e+00  6.385311e-08   4.735477e+00 
 4.924518e+00  6.800942e-08   4.924519e+00 
 5.121106e+00  7.243627e-08   5.121106e+00 
 5.325541e+00  7.715126e-08   5.325542e+00 
 5.538138e+00  8.217317e-08   5.538138e+00 
 5.759221e+00  8.752196e-08   5.759221e+00 
 5.989130e+00  9.321892e-08   5.989130e+00 
 6.228217e+00  9.928669e-08   6.228218e+00 
 6.476849e+00  1.057494e-07   6.476849e+00 
 6.735406e+00  1.126328e-07   6.735406e+00 
 7.004284e+00  1.199643e-07   7.004284e+00 
 7.283896e+00  1.277730e-07   7.283897e+00 
 7.574671e+00  1.360899e-07   7.574671e+00 
 7.877053e+00  1.449483e-07   7.877053e+00 
 8.191506e+00  1.543832e-07   8.191506e+00 
 8.518512e+00  1.644323e-07   8.518513e+00 
 8.858573e+00  1.751354e-07   8.858573e+00 
 9.212209e+00  1.865353e-07   9.212209e+00 
 9.579962e+00  1.986772e-07   9.579962e+00 
 9.962395e+00  2.116094e-07   9.962396e+00 
 1.036010e+01  2.253835e-07   1.036010e+01 
 1.077367e+01  2.400541e-07   1.077367e+01 
 1.120376e+01  2.556796e-07   1.120376e+01 
 1.165102e+01  2.723222e-07   1.165102e+01 
 1.211613e+01  2.900481e-07   1.211613e+01 
 1.259980e+01  3.089278e-07   1.259980e+01 
 1.310279e+01  3.290365e-07   1.310279e+01 
 1.362586e+01  3.504540e-07   1.362586e+01 
 1.416980e+01  3.732657e-07   1.416980e+01 
 1.473546e+01  3.975622e-07   1.473546e+01 
 1.532370e+01  4.234402e-07   1.532371e+01 
 1.593543e+01  4.510026e-07   1.593543e+01 
 1.657157e+01  4.803591e-07   1.657157e+01 
 1.723311e+01  5.116265e-07   1.723311e+01 
 1.792106e+01  5.449292e-07   1.792106e+01 
 1.863647e+01  5.803995e-07   1.863648e+01 
 1.938045e+01  6.181787e-07   1.938045e+01 
 2.015412e+01  6.584170e-07   2.015412e+01 
 2.095867e+01  7.012745e-07   2.095867e+01 
 2.179535e+01  7.469217e-07   2.179535e+01 
 2.266542e+01  7.955401e-07   2.266542e+01 
 2.357023e+01  8.473231e-07   2.357023e+01 
 2.451115e+01  9.024768e-07   2.451116e+01 
 2.548964e+01  9.612206e-07   2.548965e+01 
 2.650719e+01  1.023788e-06   2.650720e+01 
 2.756537e+01  1.090428e-06   2.756537e+01 
 2.866578e+01  1.161406e-06   2.866578e+01 
 2.981012e+01  1.237004e-06   2.981012e+01 
 3.100015e+01  1.317523e-06   3.100015e+01 
 3.223768e+01  1.403282e-06   3.223768e+01 
 3.352461e+01  1.494624e-06   3.352461e+01 
 3.486292e+01  1.591912e-06   3.486292e+01 
 3.625465e+01  1.695532e-06   3.625466e+01 
 3.770195e+01  1.805897e-06   3.770195e+01 
 3.920701e+01  1.923446e-06   3.920702e+01 
 4.077216e+01  2.048647e-06   4.077217e+01 
 4.239980e+01  2.181997e-06   4.239980e+01 
 4.409240e+01  2.324026e-06   4.409241e+01 
 4.585258e+01  2.475301e-06   4.585258e+01 
 4.768302e+01  2.636423e-06   4.768303e+01 
 4.958654e+01  2.808032e-06   4.958654e+01 
 5.156604e+01  2.990812e-06   5.156604e+01 
 5.362456e+01  3.185489e-06   5.362457e+01 
 5.576526e+01  3.392837e-06   5.576527e+01 
 5.799142e+01  3.613683e-06   5.799143e+01 
 6.030645e+01  3.848904e-06   6.030646e+01 
 6.271389e+01  4.099435e-06   6.271390e+01 
 6.521744e+01  4.366275e-06   6.521745e+01 
 6.782093e+01  4.650483e-06   6.782094e+01 
 7.052836e+01  4.953191e-06   7.052836e+01 
 7.334386e+01  5.275602e-06   7.334387e+01 
 7.627176e+01  5.619000e-06   7.627177e+01 
 7.931654e+01  5.984751e-06   7.931655e+01 
 8.248287e+01  6.374308e-06   8.248288e+01 
 8.577560e+01  6.789223e-06   8.577561e+01 
 8.919978e+01  7.231145e-06   8.919979e+01 
 9.276065e+01  7.701832e-06   9.276066e+01 
 9.646367e+01  8.203158e-06   9.646368e+01 
 1.003145e+02  8.737115e-06   1.003145e+02 
 1.043191e+02  9.305829e-06   1.043191e+02 
 1.084835e+02  9.911561e-06   1.084835e+02 
 1.128142e+02  1.055672e-05   1.128142e+02 
 1.173178e+02  1.124388e-05   1.173178e+02 
 1.220011e+02  1.197576e-05   1.220011e+02 
 1.268714e+02  1.275528e-05   1.268714e+02 
 1.319361e+02  1.358554e-05   1.319362e+02 
 1.372030e+02  1.446985e-05   1.372031e+02 
 1.426802e+02  1.541172e-05   1.426802e+02 
 1.483760e+02  1.641489e-05   1.483761e+02 
 1.542992e+02  1.748337e-05   1.542993e+02 
 1.604589e+02  1.862139e-05   1.604589e+02 
 1.668644e+02  1.983349e-05   1.668645e+02 
 1.735257e+02  2.112448e-05   1.735257e+02 
 1.804529e+02  2.249951e-05   1.804529e+02 
 1.876566e+02  2.396404e-05   1.876566e+02 
 1.951478e+02  2.552390e-05   1.951479e+02 
 2.029382e+02  2.718530e-05   2.029382e+02 
 2.110395e+02  2.895483e-05   2.110396e+02 
 2.194642e+02  3.083955e-05   2.194643e+02 
 2.282253e+02  3.284695e-05   2.282253e+02 
 2.373361e+02  3.498501e-05   2.373361e+02 
 2.468106e+02  3.726225e-05   2.468106e+02 
 2.566633e+02  3.968771e-05   2.566634e+02 
 2.669093e+02  4.227105e-05   2.669094e+02 
 2.775644e+02  4.502255e-05   2.775645e+02 
 2.886448e+02  4.795314e-05   2.886449e+02 
 3.001676e+02  5.107449e-05   3.001676e+02 
 3.121503e+02  5.439902e-05   3.121504e+02 
 3.246114e+02  5.793994e-05   3.246115e+02 
 3.375699e+02  6.171135e-05   3.375700e+02 
 3.510458e+02  6.572825e-05   3.510459e+02 
 3.650596e+02  7.000661e-05   3.650597e+02 
 3.796328e+02  7.456346e-05   3.796330e+02 
 3.947878e+02  7.941692e-05   3.947880e+02 
 4.105478e+02  8.458630e-05   4.105480e+02 
 4.269370e+02  9.009217e-05   4.269371e+02 
 4.439804e+02  9.595642e-05   4.439805e+02 
 4.617041e+02  1.022024e-04   4.617043e+02 
 4.801354e+02  1.088549e-04   4.801356e+02 
 4.993025e+02  1.159405e-04   4.993027e+02 
 5.192348e+02  1.234872e-04   5.192350e+02 
 5.399627e+02  1.315252e-04   5.399629e+02 
 5.615181e+02  1.400864e-04   5.615183e+02 
 5.839340e+02  1.492049e-04   5.839342e+02 
 6.072447e+02  1.589169e-04   6.072450e+02 
 6.314861e+02  1.692611e-04   6.314863e+02 
 6.566951e+02  1.802785e-04   6.566954e+02 
 6.829105e+02  1.920132e-04   6.829108e+02 
 7.101724e+02  2.045116e-04   7.101727e+02 
 7.385226e+02  2.178237e-04   7.385229e+02 
 7.680045e+02  2.320022e-04   7.680049e+02 
 7.986634e+02  2.471036e-04   7.986638e+02 
 8.305461e+02  2.631880e-04   8.305466e+02 
 8.637017e+02  2.803193e-04   8.637021e+02 
 8.981808e+02  2.985658e-04   8.981813e+02 
 9.340363e+02  3.179999e-04   9.340368e+02 
 9.713232e+02  3.386991e-04   9.713238e+02 
 1.010099e+03  3.607456e-04   1.010099e+03 
 1.050422e+03  3.842272e-04   1.050423e+03 
 1.092355e+03  4.092371e-04   1.092356e+03 
 1.135962e+03  4.358751e-04   1.135963e+03 
 1.181310e+03  4.642469e-04   1.181310e+03 
 1.228468e+03  4.944656e-04   1.228469e+03 
 1.277508e+03  5.266512e-04   1.277509e+03 
 1.328507e+03  5.609318e-04   1.328508e+03 
 1.381541e+03  5.974438e-04   1.381542e+03 
 1.436692e+03  6.363324e-04   1.436693e+03 
 1.494045e+03  6.777524e-04   1.494046e+03 
 1.553688e+03  7.218684e-04   1.553689e+03 
 1.615711e+03  7.688561e-04   1.615713e+03 
 1.680211e+03  8.189022e-04   1.680212e+03 
 1.747285e+03  8.722060e-04   1.747286e+03 
 1.817037e+03  9.289793e-04   1.817038e+03 
 1.889573e+03  9.894482e-04   1.889575e+03 
 1.965005e+03  1.053853e-03   1.965007e+03 
 2.043449e+03  1.122450e-03   2.043451e+03 
 2.125024e+03  1.195512e-03   2.125026e+03 
 2.209855e+03  1.273330e-03   2.209857e+03 
 2.298073e+03  1.356213e-03   2.298075e+03 
 2.389812e+03  1.444492e-03   2.389815e+03 
 2.485214e+03  1.538516e-03   2.485216e+03 
 2.584424e+03  1.638661e-03   2.584427e+03 
 2.687595e+03  1.745324e-03   2.687597e+03 
 2.794884e+03  1.858930e-03   2.794887e+03 
 2.906456e+03  1.979931e-03   2.906459e+03 
 3.022482e+03  2.108808e-03   3.022486e+03 
